time,human_status,human_target,human_remaining,human_at_A,human_at_B,human_at_C,human_at_D,robot_status,robot_mode,robot_target,robot_remaining,robot_at_A,robot_at_B,robot_at_C,robot_at_D,prv_mode,delta_t_formal,delta_t_learned,confidence,formal_critical,learned_advisory
79.00,EXITING,B,1.43,False,True,False,False,STOPPED,SLOW,B,4.32,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
79.50,EXITING,B,0.93,False,True,False,False,STOPPED,SLOW,B,4.32,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
80.00,EXITING,B,0.43,False,True,False,False,STOPPED,SLOW,B,4.32,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
80.50,IDLE,,-0.07,False,False,False,False,MOVING,SLOW,B,4.32,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
81.00,MOVING,C,5.99,False,False,False,False,MOVING,NORMAL,B,1.23,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
81.50,MOVING,C,5.49,False,False,False,False,MOVING,NORMAL,B,0.73,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
82.00,MOVING,C,4.99,False,False,False,False,MOVING,NORMAL,B,0.23,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
82.50,MOVING,C,4.49,False,False,False,False,EXITING,NORMAL,B,1.06,False,True,False,False,NOMINAL,inf,inf,0.850,False,False
83.00,MOVING,C,3.99,False,False,False,False,EXITING,NORMAL,B,0.56,False,True,False,False,NOMINAL,inf,inf,0.850,False,False
83.50,MOVING,C,3.49,False,False,False,False,EXITING,NORMAL,B,0.06,False,True,False,False,NOMINAL,inf,inf,0.850,False,False
84.00,MOVING,C,2.99,False,False,False,False,IDLE,NORMAL,,-0.44,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
84.50,MOVING,C,2.49,False,False,False,False,MOVING,NORMAL,C,6.43,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
85.00,MOVING,C,1.99,False,False,False,False,MOVING,NORMAL,C,5.93,False,False,False,False,ADVISORY,inf,1.99,0.850,False,True
85.50,MOVING,C,1.49,False,False,False,False,MOVING,SLOW,C,5.89,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
86.00,MOVING,C,0.99,False,False,False,False,MOVING,SLOW,C,5.39,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
86.50,MOVING,C,0.49,False,False,False,False,MOVING,SLOW,C,4.89,False,False,False,False,NOMINAL,inf,0.49,0.850,False,False
87.00,EXITING,C,1.68,False,False,True,False,MOVING,SLOW,C,4.39,False,False,False,False,CRITICAL,4.39,0.00,0.850,True,False
87.50,EXITING,C,1.18,False,False,True,False,STOPPED,SLOW,C,4.39,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
88.00,EXITING,C,0.68,False,False,True,False,STOPPED,SLOW,C,4.39,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
88.50,EXITING,C,0.18,False,False,True,False,STOPPED,SLOW,C,4.39,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
89.00,IDLE,,-0.32,False,False,False,False,MOVING,SLOW,C,4.39,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
89.50,MOVING,D,4.25,False,False,False,False,MOVING,NORMAL,C,1.25,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
90.00,MOVING,D,3.75,False,False,False,False,MOVING,NORMAL,C,0.75,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
90.50,MOVING,D,3.25,False,False,False,False,MOVING,NORMAL,C,0.25,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
91.00,MOVING,D,2.75,False,False,False,False,EXITING,NORMAL,C,1.26,False,False,True,False,NOMINAL,inf,inf,0.850,False,False
91.50,MOVING,D,2.25,False,False,False,False,EXITING,NORMAL,C,0.76,False,False,True,False,NOMINAL,inf,inf,0.850,False,False
92.00,MOVING,D,1.75,False,False,False,False,EXITING,NORMAL,C,0.26,False,False,True,False,NOMINAL,inf,inf,0.850,False,False
92.50,MOVING,D,1.25,False,False,False,False,IDLE,NORMAL,,-0.24,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
93.00,MOVING,D,0.75,False,False,False,False,MOVING,NORMAL,D,6.94,False,False,False,False,ADVISORY,inf,0.75,0.850,False,True
93.50,MOVING,D,0.25,False,False,False,False,MOVING,SLOW,D,6.97,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
94.00,EXITING,D,1.01,False,False,False,True,MOVING,SLOW,D,6.47,False,False,False,False,CRITICAL,6.47,0.00,0.850,True,False
94.50,EXITING,D,0.51,False,False,False,True,STOPPED,SLOW,D,6.47,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
95.00,EXITING,D,0.01,False,False,False,True,STOPPED,SLOW,D,6.47,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
95.50,IDLE,,-0.49,False,False,False,False,MOVING,SLOW,D,6.47,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
96.00,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,D,2.09,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
96.50,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,D,1.59,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
97.00,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,D,1.09,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
97.50,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,D,0.59,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
98.00,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,D,0.09,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
98.50,IDLE,,-0.49,False,False,False,False,EXITING,NORMAL,D,1.54,False,False,False,True,NOMINAL,inf,inf,0.000,False,False
99.00,IDLE,,-0.49,False,False,False,False,EXITING,NORMAL,D,1.04,False,False,False,True,NOMINAL,inf,inf,0.000,False,False
99.50,IDLE,,-0.49,False,False,False,False,EXITING,NORMAL,D,0.54,False,False,False,True,NOMINAL,inf,inf,0.000,False,False
100.00,IDLE,,-0.49,False,False,False,False,EXITING,NORMAL,D,0.04,False,False,False,True,NOMINAL,inf,inf,0.000,False,False
100.50,IDLE,,-0.49,False,False,False,False,IDLE,NORMAL,,-0.46,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
101.00,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,A,6.52,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
101.50,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,A,6.02,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
102.00,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,A,5.52,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
102.50,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,A,5.02,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
103.00,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,A,4.52,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
103.50,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,A,4.02,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
104.00,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,A,3.52,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
104.50,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,A,3.02,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
105.00,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,A,2.52,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
105.50,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,A,2.02,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
106.00,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,A,1.52,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
106.50,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,A,1.02,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
107.00,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,A,0.52,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
107.50,IDLE,,-0.49,False,False,False,False,MOVING,NORMAL,A,0.02,False,False,False,False,NOMINAL,inf,inf,0.000,False,False
108.00,IDLE,,-0.49,False,False,False,False,EXITING,NORMAL,A,1.13,True,False,False,False,NOMINAL,inf,inf,0.000,False,False
108.50,IDLE,,-0.49,False,False,False,False,EXITING,NORMAL,A,0.63,True,False,False,False,NOMINAL,inf,inf,0.000,False,False
109.00,IDLE,,-0.49,False,False,False,False,EXITING,NORMAL,A,0.13,True,False,False,False,NOMINAL,inf,inf,0.000,False,False
